Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-24,40.8,40.875,40.01,40.14,13746685.0,0.0,1.0,40.8,40.875,40.01,40.14,13746685.0
2017-08-23,41.25,41.3,40.62,40.65,11625451.0,0.0,1.0,41.25,41.3,40.62,40.65,11625451.0
2017-08-22,40.93,41.51,40.8622,41.35,11668935.0,0.0,1.0,40.93,41.51,40.8622,41.35,11668935.0
2017-08-21,40.53,40.94,40.47,40.8,15131779.0,0.0,1.0,40.53,40.94,40.47,40.8,15131779.0
2017-08-18,40.12,40.765,40.045,40.52,19453628.0,0.0,1.0,40.12,40.765,40.045,40.52,19453628.0
2017-08-17,41.2,41.24,40.26,40.27,14405506.0,0.0,1.0,41.2,41.24,40.26,40.27,14405506.0
2017-08-16,41.68,41.68,41.05,41.24,11270339.0,0.0,1.0,41.68,41.68,41.05,41.24,11270339.0
2017-08-15,41.96,41.99,41.24,41.5,12061685.0,0.0,1.0,41.96,41.99,41.24,41.5,12061685.0
2017-08-14,41.48,41.9768,41.38,41.9,18299193.0,0.0,1.0,41.48,41.9768,41.38,41.9,18299193.0
2017-08-11,40.76,41.275,40.67,41.11,16581431.0,0.0,1.0,40.76,41.275,40.67,41.11,16581431.0
2017-08-10,40.4,41.05,40.38,40.73,20049447.0,0.0,1.0,40.4,41.05,40.38,40.73,20049447.0
2017-08-09,39.54,40.67,39.355,40.63,17277897.0,0.0,1.0,39.54,40.67,39.355,40.63,17277897.0
2017-08-08,39.62,40.17,39.43,39.92,11790325.0,0.0,1.0,39.62,40.17,39.43,39.92,11790325.0
2017-08-04,39.83,39.84,39.54,39.6,11299098.0,0.0,1.0,39.83,39.84,39.54,39.6,11299098.0
2017-08-03,39.63,39.99,39.51,39.7,14882866.0,0.0,1.0,39.63,39.99,39.51,39.7,14882866.0
2017-08-02,40.17,40.19,39.545,40.01,16750236.0,0.0,1.0,40.17,40.19,39.545,40.01,16750236.0
2017-08-01,40.4,40.85,40.11,40.34,18549946.0,0.0,1.0,40.4,40.85,40.11,40.34,18549946.0
