Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-15,194.82,195.87,193.83,193.92,541717.0,0.0,1.0,194.82,195.87,193.83,193.92,541717.0
2017-08-14,195.01,195.93,193.66,194.8,656029.0,0.0,1.0,195.01,195.93,193.66,194.8,656029.0
2017-08-11,195.7,197.72,194.1,194.25,687334.0,0.0,1.0,195.7,197.72,194.1,194.25,687334.0
2017-08-10,197.6,198.97,194.431,194.65,1151586.0,0.0,1.0,197.6,198.97,194.431,194.65,1151586.0
2017-08-09,197.53,199.82,196.76,199.23,1013156.0,0.0,1.0,197.53,199.82,196.76,199.23,1013156.0
2017-08-08,198.28,199.86,197.39,197.61,703821.0,0.0,1.0,198.28,199.86,197.39,197.61,703821.0
2017-08-07,195.26,199.95,195.14,199.58,927448.0,0.0,1.0,195.26,199.95,195.14,199.58,927448.0
2017-08-04,198.44,198.55,194.38,194.47,1176739.0,0.0,1.0,198.44,198.55,194.38,194.47,1176739.0
2017-08-03,197.0,198.57,195.04,198.46,1981096.0,0.0,1.0,197.0,198.57,195.04,198.46,1981096.0
2017-08-02,188.0,198.47,188.0,197.85,5003482.0,0.0,1.0,188.0,198.47,188.0,197.85,5003482.0
2017-08-01,173.96,173.96,170.31,172.3,1268702.0,0.0,1.0,173.96,173.96,170.31,172.3,1268702.0
2017-07-31,175.21,176.5,173.345,173.85,877829.0,0.0,1.0,175.21,176.5,173.345,173.85,877829.0
2017-07-28,174.44,175.71,173.25,174.92,621620.0,0.0,1.0,174.44,175.71,173.25,174.92,621620.0
2017-07-27,176.5,177.8,173.01,174.33,1120136.0,0.0,1.0,176.5,177.8,173.01,174.33,1120136.0
2017-07-26,173.37,176.465,172.12,176.3,768044.0,0.0,1.0,173.37,176.465,172.12,176.3,768044.0
2017-07-25,175.0,175.0,171.76,173.85,819547.0,0.0,1.0,175.0,175.0,171.76,173.85,819547.0
2017-07-24,172.48,174.04,171.02,173.99,1111215.0,0.0,1.0,172.48,174.04,171.02,173.99,1111215.0
2017-07-21,171.37,173.46,171.37,172.75,1377147.0,0.0,1.0,171.37,173.46,171.37,172.75,1377147.0
2017-07-20,174.45,174.45,171.81,171.97,591918.0,0.0,1.0,174.45,174.45,171.81,171.97,591918.0
2017-07-19,174.66,175.85,173.12,173.88,616901.0,0.0,1.0,174.66,175.85,173.12,173.88,616901.0
2017-07-18,171.97,173.92,169.6964,173.66,989796.0,0.0,1.0,171.97,173.92,169.6964,173.66,989796.0
2017-07-17,171.97,173.3911,171.22,171.74,1124708.0,0.0,1.0,171.97,173.3911,171.22,171.74,1124708.0
2017-07-14,173.83,174.99,171.19,172.33,1219342.0,0.0,1.0,173.83,174.99,171.19,172.33,1219342.0
2017-07-13,173.67,174.38,172.1575,173.0,844312.0,0.0,1.0,173.67,174.38,172.1575,173.0,844312.0
2017-07-12,174.79,175.32,172.65,173.23,777895.0,0.0,1.0,174.79,175.32,172.65,173.23,777895.0
2017-07-11,169.75,174.5,169.26,173.15,1092435.0,0.0,1.0,169.75,174.5,169.26,173.15,1092435.0
2017-07-10,170.88,171.145,167.98,169.0,1565578.0,0.0,1.0,170.88,171.145,167.98,169.0,1565578.0
2017-07-07,172.73,174.01,171.95,172.11,620389.0,0.0,1.0,172.73,174.01,171.95,172.11,620389.0
2017-07-06,172.8,173.92,170.15,172.43,830793.0,0.0,1.0,172.8,173.92,170.15,172.43,830793.0
2017-07-05,173.9,175.41,171.56,174.35,884260.0,0.0,1.0,173.9,175.41,171.56,174.35,884260.0
2017-07-03,174.24,176.49,173.31,174.13,527677.0,0.0,1.0,174.24,176.49,173.31,174.13,527677.0
2017-06-30,178.62,178.62,173.44,173.52,858376.0,0.0,1.0,178.62,178.62,173.44,173.52,858376.0
2017-06-29,180.53,180.5515,175.64,176.75,773589.0,0.0,1.0,180.53,180.5515,175.64,176.75,773589.0
2017-06-28,177.12,181.18,176.01,181.0,654915.0,0.0,1.0,177.12,181.18,176.01,181.0,654915.0
2017-06-27,180.31,181.29,176.14,176.36,713422.0,0.0,1.0,180.31,181.29,176.14,176.36,713422.0
2017-06-26,185.28,186.0,180.78,180.89,708422.0,0.0,1.0,185.28,186.0,180.78,180.89,708422.0
2017-06-23,182.99,185.72,181.065,185.28,1021764.0,0.0,1.0,182.99,185.72,181.065,185.28,1021764.0
2017-06-22,178.07,183.98,177.77,182.99,1185385.0,0.0,1.0,178.07,183.98,177.77,182.99,1185385.0
2017-06-21,175.39,178.77,175.39,177.38,959896.0,0.0,1.0,175.39,178.77,175.39,177.38,959896.0
2017-06-20,176.23,179.25,175.15,175.3,780841.0,0.0,1.0,176.23,179.25,175.15,175.3,780841.0
2017-06-19,172.71,177.65,171.21,176.6,903610.0,0.0,1.0,172.71,177.65,171.21,176.6,903610.0
2017-06-16,171.81,173.235,169.86,171.86,1210698.0,0.0,1.0,171.81,173.235,169.86,171.86,1210698.0
2017-06-15,171.25,172.53,169.73,172.04,757209.0,0.0,1.0,171.25,172.53,169.73,172.04,757209.0
2017-06-14,174.26,176.11,171.61,172.59,742603.0,0.0,1.0,174.26,176.11,171.61,172.59,742603.0
2017-06-13,171.46,173.5,170.55,173.46,691381.0,0.0,1.0,171.46,173.5,170.55,173.46,691381.0
2017-06-12,173.81,174.41,168.87,171.46,907974.0,0.0,1.0,173.81,174.41,168.87,171.46,907974.0
2017-06-09,176.33,178.3,173.45,174.08,876854.0,0.0,1.0,176.33,178.3,173.45,174.08,876854.0
2017-06-08,178.91,179.0,176.661,177.69,583648.0,0.0,1.0,178.91,179.0,176.661,177.69,583648.0
2017-06-07,179.47,180.1,177.75,179.15,560301.0,0.0,1.0,179.47,180.1,177.75,179.15,560301.0
2017-06-06,180.62,181.54,178.69,179.45,599253.0,0.0,1.0,180.62,181.54,178.69,179.45,599253.0
2017-06-05,184.75,184.75,181.44,181.51,563881.0,0.0,1.0,184.75,184.75,181.44,181.51,563881.0
2017-06-02,181.0,184.44,180.043,183.79,713791.0,0.0,1.0,181.0,184.44,180.043,183.79,713791.0
2017-06-01,177.61,180.94,176.051,180.66,898420.0,0.0,1.0,177.61,180.94,176.051,180.66,898420.0
2017-05-31,174.7,177.46,173.26,177.36,1411635.0,0.0,1.0,174.7,177.46,173.26,177.36,1411635.0
2017-05-30,175.19,176.51,173.02,173.58,723877.0,0.0,1.0,175.19,176.51,173.02,173.58,723877.0
2017-05-26,174.01,177.14,173.8,175.91,957959.0,0.0,1.0,174.01,177.14,173.8,175.91,957959.0
2017-05-25,174.77,174.77,172.34,173.76,1214247.0,0.0,1.0,174.77,174.77,172.34,173.76,1214247.0
2017-05-24,175.34,175.98,173.781,174.48,1250609.0,0.0,1.0,175.34,175.98,173.781,174.48,1250609.0
