Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-24,15.56,15.57,15.215,15.26,2959633.0,0.0,1.0,15.56,15.57,15.215,15.26,2959633.0
2017-08-23,15.34,15.7362,15.29,15.63,3013063.0,0.0,1.0,15.34,15.7362,15.29,15.63,3013063.0
2017-08-22,15.47,15.59,15.335,15.4175,2559520.0,0.0,1.0,15.47,15.59,15.335,15.4175,2559520.0
2017-08-21,14.83,15.59,14.83,15.4,2261546.0,0.0,1.0,14.83,15.59,14.83,15.4,2261546.0
2017-08-18,15.46,15.88,15.33,15.63,5555064.0,0.0,1.0,15.46,15.88,15.33,15.63,5555064.0
2017-08-17,15.42,15.54,15.245,15.44,5847031.0,0.0,1.0,15.42,15.54,15.245,15.44,5847031.0
2017-08-16,16.29,16.32,15.46,15.53,5615842.0,0.0,1.0,16.29,16.32,15.46,15.53,5615842.0
2017-08-15,16.55,16.62,15.9,16.25,4028058.0,0.0,1.0,16.55,16.62,15.9,16.25,4028058.0
2017-08-14,16.87,17.0,16.61,16.64,2479023.0,0.0,1.0,16.87,17.0,16.61,16.64,2479023.0
2017-08-11,16.82,17.03,16.795,16.83,3615244.0,0.0,1.0,16.82,17.03,16.795,16.83,3615244.0
2017-08-10,16.97,17.4,16.81,16.87,5008968.0,0.0,1.0,16.97,17.4,16.81,16.87,5008968.0
2017-08-09,17.9,17.99,17.25,17.29,4221218.0,0.0,1.0,17.9,17.99,17.25,17.29,4221218.0
2017-08-08,18.18,18.25,17.71,17.79,3875430.0,0.0,1.0,18.18,18.25,17.71,17.79,3875430.0
2017-08-07,18.99,18.99,18.18,18.32,4608908.0,0.0,1.0,18.99,18.99,18.18,18.32,4608908.0
2017-08-04,19.32,19.45,18.995,19.09,3402002.0,0.0,1.0,19.32,19.45,18.995,19.09,3402002.0
2017-08-03,19.66,19.81,19.09,19.22,3524206.0,0.0,1.0,19.66,19.81,19.09,19.22,3524206.0
2017-08-02,19.19,19.83,18.75,19.68,4651881.0,0.0,1.0,19.19,19.83,18.75,19.68,4651881.0
2017-08-01,19.28,19.46,18.88,19.27,4839597.0,0.0,1.0,19.28,19.46,18.88,19.27,4839597.0
2017-07-31,19.51,19.82,19.06,19.34,4089491.0,0.0,1.0,19.51,19.82,19.06,19.34,4089491.0
2017-07-28,19.36,20.29,19.302,19.51,4060088.0,0.0,1.0,19.36,20.29,19.302,19.51,4060088.0
2017-07-27,19.89,20.54,19.24,19.43,7613369.0,0.0,1.0,19.89,20.54,19.24,19.43,7613369.0
2017-07-26,19.89,20.04,19.17,19.75,4714008.0,0.0,1.0,19.89,20.04,19.17,19.75,4714008.0
2017-07-25,19.45,20.09,19.43,19.74,4789050.0,0.0,1.0,19.45,20.09,19.43,19.74,4789050.0
2017-07-24,19.87,19.95,18.925,19.18,6394093.0,0.0,1.0,19.87,19.95,18.925,19.18,6394093.0
2017-07-21,20.74,20.98,19.7,19.75,5544183.0,0.0,1.0,20.74,20.98,19.7,19.75,5544183.0
2017-07-20,21.69,21.74,20.73,20.78,3939527.0,0.0,1.0,21.69,21.74,20.73,20.78,3939527.0
2017-07-19,20.25,21.655,20.035,21.51,6939382.0,0.0,1.0,20.25,21.655,20.035,21.51,6939382.0
2017-07-18,20.28,20.37,19.91,20.23,3842153.0,0.0,1.0,20.28,20.37,19.91,20.23,3842153.0
2017-07-17,20.36,20.51,20.09,20.11,3352068.0,0.0,1.0,20.36,20.51,20.09,20.11,3352068.0
2017-07-14,20.43,20.56,20.13,20.47,3877046.0,0.0,1.0,20.43,20.56,20.13,20.47,3877046.0
2017-07-13,20.03,20.45,19.78,20.43,3267021.0,0.0,1.0,20.03,20.45,19.78,20.43,3267021.0
2017-07-12,20.6,20.77,19.85,20.01,2807805.0,0.0,1.0,20.6,20.77,19.85,20.01,2807805.0
2017-07-11,20.04,20.49,19.78,20.28,3409512.0,0.0,1.0,20.04,20.49,19.78,20.28,3409512.0
2017-07-10,19.65,20.05,19.51,20.02,4076101.0,0.0,1.0,19.65,20.05,19.51,20.02,4076101.0
2017-07-07,19.55,19.79,19.13,19.78,2580867.0,0.0,1.0,19.55,19.79,19.13,19.78,2580867.0
2017-07-06,20.36,20.56,19.62,19.68,3107902.0,0.0,1.0,20.36,20.56,19.62,19.68,3107902.0
2017-07-05,20.71,20.71,20.02,20.22,3803938.0,0.0,1.0,20.71,20.71,20.02,20.22,3803938.0
2017-07-03,20.32,21.0,20.21,20.88,2374771.0,0.0,1.0,20.32,21.0,20.21,20.88,2374771.0
2017-06-30,20.2,20.47,19.97,20.19,3427076.0,0.0,1.0,20.2,20.47,19.97,20.19,3427076.0
2017-06-29,20.13,20.67,20.03,20.12,3898716.0,0.0,1.0,20.13,20.67,20.03,20.12,3898716.0
2017-06-28,19.96,20.38,19.84,20.02,3585923.0,0.0,1.0,19.96,20.38,19.84,20.02,3585923.0
2017-06-27,19.85,20.19,19.7,19.93,3708059.0,0.0,1.0,19.85,20.19,19.7,19.93,3708059.0
2017-06-26,19.78,20.12,19.55,19.79,2288333.0,0.0,1.0,19.78,20.12,19.55,19.79,2288333.0
2017-06-23,19.6,19.885,19.41,19.64,5546205.0,0.0,1.0,19.6,19.885,19.41,19.64,5546205.0
2017-06-22,19.58,19.935,19.3,19.52,4115199.0,0.0,1.0,19.58,19.935,19.3,19.52,4115199.0
2017-06-21,19.59,19.64,19.06,19.45,5427684.0,0.0,1.0,19.59,19.64,19.06,19.45,5427684.0
2017-06-20,19.97,20.1,19.2,19.72,5567561.0,0.0,1.0,19.97,20.1,19.2,19.72,5567561.0
2017-06-19,20.45,20.52,20.1,20.4,5293490.0,0.0,1.0,20.45,20.52,20.1,20.4,5293490.0
2017-06-16,20.08,20.43,19.87,20.41,6044160.0,0.0,1.0,20.08,20.43,19.87,20.41,6044160.0
2017-06-15,19.96,20.27,19.805,19.97,4031849.0,0.0,1.0,19.96,20.27,19.805,19.97,4031849.0
2017-06-14,21.34,21.34,19.96,20.22,5926369.0,0.0,1.0,21.34,21.34,19.96,20.22,5926369.0
2017-06-13,20.8,21.5,20.65,21.37,3383030.0,0.0,1.0,20.8,21.5,20.65,21.37,3383030.0
2017-06-12,20.89,21.52,20.69,20.75,5973281.0,0.0,1.0,20.89,21.52,20.69,20.75,5973281.0
2017-06-09,20.02,21.12,19.55,20.63,5598314.0,0.0,1.0,20.02,21.12,19.55,20.63,5598314.0
2017-06-08,19.27,19.91,19.27,19.89,4551631.0,0.0,1.0,19.27,19.91,19.27,19.89,4551631.0
2017-06-07,21.32,21.54,19.32,19.45,7459535.0,0.0,1.0,21.32,21.54,19.32,19.45,7459535.0
2017-06-06,21.22,21.6,20.89,21.53,4327503.0,0.02,1.0,21.22,21.6,20.89,21.53,4327503.0
2017-06-05,21.05,21.48,20.94,21.43,4761683.0,0.0,1.0,21.030464037123,21.460064965197,20.92056612529,21.41011136891,4761683.0
2017-06-02,21.56,21.61,20.83,21.19,4732752.0,0.0,1.0,21.539990719258,21.589944315545,20.810668213457,21.170334106729,4732752.0
