Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-15,71.87,72.48,71.18,72.07,716223.0,0.0,1.0,71.87,72.48,71.18,72.07,716223.0
2017-08-14,71.16,72.46,71.05,71.95,985710.0,0.0,1.0,71.16,72.46,71.05,71.95,985710.0
2017-08-11,71.92,73.36,70.97,71.03,1337714.0,0.0,1.0,71.92,73.36,70.97,71.03,1337714.0
2017-08-10,74.0,74.0,70.24,71.44,2769344.0,0.0,1.0,74.0,74.0,70.24,71.44,2769344.0
2017-08-09,76.94,76.94,74.65,75.06,1056407.0,0.0,1.0,76.94,76.94,74.65,75.06,1056407.0
2017-08-08,78.5,78.9199,77.0,77.06,621630.0,0.0,1.0,78.5,78.9199,77.0,77.06,621630.0
2017-08-07,78.45,79.18,77.64,78.66,1104502.0,0.0,1.0,78.45,79.18,77.64,78.66,1104502.0
2017-08-04,80.5,82.16,77.04,78.45,2646791.0,0.0,1.0,80.5,82.16,77.04,78.45,2646791.0
2017-08-03,79.69,83.25,78.1,82.76,2666052.0,0.0,1.0,79.69,83.25,78.1,82.76,2666052.0
2017-08-02,77.07,77.2,75.5,76.02,569070.0,0.0,1.0,77.07,77.2,75.5,76.02,569070.0
2017-08-01,77.33,77.56,76.66,77.06,773898.0,0.0,1.0,77.33,77.56,76.66,77.06,773898.0
2017-07-31,76.32,77.65,76.26,77.08,538017.0,0.0,1.0,76.32,77.65,76.26,77.08,538017.0
2017-07-28,76.39,76.96,75.52,75.93,469472.0,0.0,1.0,76.39,76.96,75.52,75.93,469472.0
2017-07-27,76.49,76.81,75.91,76.56,700040.0,0.0,1.0,76.49,76.81,75.91,76.56,700040.0
2017-07-26,77.54,77.54,76.36,76.55,583415.0,0.0,1.0,77.54,77.54,76.36,76.55,583415.0
2017-07-25,76.83,77.7,76.31,77.46,742196.0,0.0,1.0,76.83,77.7,76.31,77.46,742196.0
2017-07-24,77.58,77.76,76.21,76.41,426833.0,0.0,1.0,77.58,77.76,76.21,76.41,426833.0
2017-07-21,76.48,77.6,76.47,77.54,528591.0,0.0,1.0,76.48,77.6,76.47,77.54,528591.0
2017-07-20,76.32,76.8,76.2,76.65,340919.0,0.0,1.0,76.32,76.8,76.2,76.65,340919.0
2017-07-19,75.84,76.31,75.6,76.2,285862.0,0.0,1.0,75.84,76.31,75.6,76.2,285862.0
2017-07-18,75.41,76.26,74.87,75.89,569248.0,0.0,1.0,75.41,76.26,74.87,75.89,569248.0
2017-07-17,76.25,76.49,75.28,75.48,423180.0,0.0,1.0,76.25,76.49,75.28,75.48,423180.0
2017-07-14,76.06,76.4661,75.53,76.3,516048.0,0.0,1.0,76.06,76.4661,75.53,76.3,516048.0
2017-07-13,75.36,76.5,75.33,75.97,914052.0,0.0,1.0,75.36,76.5,75.33,75.97,914052.0
2017-07-12,76.12,76.64,75.47,75.65,515109.0,0.0,1.0,76.12,76.64,75.47,75.65,515109.0
2017-07-11,75.31,75.94,75.05,75.73,466787.0,0.0,1.0,75.31,75.94,75.05,75.73,466787.0
2017-07-10,76.42,76.44,75.38,75.39,636835.0,0.0,1.0,76.42,76.44,75.38,75.39,636835.0
2017-07-07,75.39,77.06,75.18,76.48,810849.0,0.0,1.0,75.39,77.06,75.18,76.48,810849.0
2017-07-06,75.25,75.7399,74.22,75.23,1494247.0,0.0,1.0,75.25,75.7399,74.22,75.23,1494247.0
2017-07-05,76.12,76.245,75.39,75.65,1242486.0,0.0,1.0,76.12,76.245,75.39,75.65,1242486.0
2017-07-03,76.6,77.14,75.91,76.37,548982.0,0.0,1.0,76.6,77.14,75.91,76.37,548982.0
2017-06-30,77.23,77.77,76.135,76.32,666091.0,0.0,1.0,77.23,77.77,76.135,76.32,666091.0
2017-06-29,77.72,78.41,76.59,77.22,688296.0,0.0,1.0,77.72,78.41,76.59,77.22,688296.0
2017-06-28,77.5,78.2,77.0001,77.72,797605.0,0.0,1.0,77.5,78.2,77.0001,77.72,797605.0
2017-06-27,78.4,78.58,77.01,77.24,638766.0,0.0,1.0,78.4,78.58,77.01,77.24,638766.0
2017-06-26,76.8,78.87,76.76,78.25,712077.0,0.0,1.0,76.8,78.87,76.76,78.25,712077.0
2017-06-23,77.14,77.76,76.396,76.88,1193649.0,0.0,1.0,77.14,77.76,76.396,76.88,1193649.0
2017-06-22,76.34,77.55,75.9,77.21,724172.0,0.0,1.0,76.34,77.55,75.9,77.21,724172.0
2017-06-21,78.18,78.38,76.19,76.34,709622.0,0.0,1.0,78.18,78.38,76.19,76.34,709622.0
2017-06-20,79.09,79.627,78.12,78.13,410565.0,0.0,1.0,79.09,79.627,78.12,78.13,410565.0
2017-06-19,78.49,79.2,78.01,79.07,458847.0,0.0,1.0,78.49,79.2,78.01,79.07,458847.0
2017-06-16,78.47,78.95,78.02,78.43,792765.0,0.0,1.0,78.47,78.95,78.02,78.43,792765.0
2017-06-15,77.68,78.23,77.3,78.17,617350.0,0.0,1.0,77.68,78.23,77.3,78.17,617350.0
2017-06-14,78.72,79.23,78.16,78.24,752763.0,0.0,1.0,78.72,79.23,78.16,78.24,752763.0
2017-06-13,79.48,79.67,78.59,78.7,628936.0,0.0,1.0,79.48,79.67,78.59,78.7,628936.0
2017-06-12,79.09,80.19,78.83,79.15,588105.0,0.0,1.0,79.09,80.19,78.83,79.15,588105.0
2017-06-09,78.99,79.22,78.51,79.01,750465.0,0.0,1.0,78.99,79.22,78.51,79.01,750465.0
2017-06-08,80.23,80.49,78.45,78.98,1004903.0,0.0,1.0,80.23,80.49,78.45,78.98,1004903.0
2017-06-07,79.23,80.53,78.56,80.48,1064998.0,0.0,1.0,79.23,80.53,78.56,80.48,1064998.0
2017-06-06,80.69,80.8,79.171,79.23,847640.0,0.0,1.0,80.69,80.8,79.171,79.23,847640.0
2017-06-05,82.15,82.15,81.11,81.16,798311.0,0.0,1.0,82.15,82.15,81.11,81.16,798311.0
2017-06-02,83.88,83.95,82.27,82.32,673699.0,0.0,1.0,83.88,83.95,82.27,82.32,673699.0
2017-06-01,81.96,84.6,81.47,84.19,781340.0,0.0,1.0,81.96,84.6,81.47,84.19,781340.0
2017-05-31,81.49,81.91,80.68,81.77,925947.0,0.0,1.0,81.49,81.91,80.68,81.77,925947.0
2017-05-30,82.1,82.56,81.3279,81.48,710542.0,0.0,1.0,82.1,82.56,81.3279,81.48,710542.0
2017-05-26,83.37,83.55,82.34,82.4,464498.0,0.0,1.0,83.37,83.55,82.34,82.4,464498.0
2017-05-25,83.47,83.472,82.95,83.35,1052449.0,0.0,1.0,83.47,83.472,82.95,83.35,1052449.0
2017-05-24,83.04,83.72,82.87,82.99,347905.0,0.0,1.0,83.04,83.72,82.87,82.99,347905.0
2017-05-23,84.5,84.5,82.41,83.05,614271.0,0.0,1.0,84.5,84.5,82.41,83.05,614271.0
2017-05-22,83.58,84.74,83.58,84.18,588491.0,0.0,1.0,83.58,84.74,83.58,84.18,588491.0
2017-05-19,83.92,83.92,83.08,83.56,647261.0,0.0,1.0,83.92,83.92,83.08,83.56,647261.0
2017-05-18,83.25,83.96,83.14,83.76,606574.0,0.0,1.0,83.25,83.96,83.14,83.76,606574.0
