Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-14,34.6,35.51,34.42,35.43,3496931.0,0.0,1.0,34.6,35.51,34.42,35.43,3496931.0
2017-08-11,35.26,35.52,34.49,34.54,2276415.0,0.0,1.0,35.26,35.52,34.49,34.54,2276415.0
2017-08-10,35.22,35.83,35.2,35.47,1828767.0,0.0,1.0,35.22,35.83,35.2,35.47,1828767.0
2017-08-09,35.89,36.0,35.48,35.51,1652574.0,0.0,1.0,35.89,36.0,35.48,35.51,1652574.0
2017-08-08,35.83,36.33,35.21,36.015,2726083.0,0.0,1.0,35.83,36.33,35.21,36.015,2726083.0
2017-08-07,35.49,36.14,35.165,35.84,1849075.0,0.0,1.0,35.49,36.14,35.165,35.84,1849075.0
2017-08-04,35.09,35.365,34.93,35.27,1316430.0,0.0,1.0,35.09,35.365,34.93,35.27,1316430.0
2017-08-03,34.78,35.19,34.6,34.91,1236443.0,0.0,1.0,34.78,35.19,34.6,34.91,1236443.0
2017-08-02,34.64,35.14,34.26,34.81,2242632.0,0.0,1.0,34.64,35.14,34.26,34.81,2242632.0
2017-08-01,35.53,35.54,34.76,34.86,2327436.0,0.0,1.0,35.53,35.54,34.76,34.86,2327436.0
2017-07-31,35.55,35.68,34.92,35.41,2312352.0,0.0,1.0,35.55,35.68,34.92,35.41,2312352.0
2017-07-28,36.29,36.49,34.86,35.15,3331633.0,0.0,1.0,36.29,36.49,34.86,35.15,3331633.0
2017-07-27,36.48,36.85,36.07,36.52,2050988.0,0.0,1.0,36.48,36.85,36.07,36.52,2050988.0
2017-07-26,38.12,38.19,35.85,36.34,4122963.0,0.0,1.0,38.12,38.19,35.85,36.34,4122963.0
2017-07-25,38.12,38.7,37.96,38.09,2900626.0,0.0,1.0,38.12,38.7,37.96,38.09,2900626.0
2017-07-24,37.51,37.78,36.94,37.52,2209306.0,0.0,1.0,37.51,37.78,36.94,37.52,2209306.0
2017-07-21,37.63,38.08,37.46,37.51,2627850.0,0.0,1.0,37.63,38.08,37.46,37.51,2627850.0
2017-07-20,36.36,37.8,36.17,37.69,4374193.0,0.0,1.0,36.36,37.8,36.17,37.69,4374193.0
2017-07-19,36.66,37.53,35.94,37.49,3195081.0,0.0,1.0,36.66,37.53,35.94,37.49,3195081.0
2017-07-18,36.61,36.73,35.72,36.5,2194482.0,0.0,1.0,36.61,36.73,35.72,36.5,2194482.0
2017-07-17,36.56,36.96,36.2,36.69,1718420.0,0.0,1.0,36.56,36.96,36.2,36.69,1718420.0
2017-07-14,37.01,37.05,36.32,36.56,1749130.0,0.0,1.0,37.01,37.05,36.32,36.56,1749130.0
2017-07-13,36.08,36.95,35.72,36.8,2963129.0,0.0,1.0,36.08,36.95,35.72,36.8,2963129.0
2017-07-12,36.24,36.44,35.77,35.99,2960363.0,0.0,1.0,36.24,36.44,35.77,35.99,2960363.0
2017-07-11,36.34,36.5789,35.811,36.02,2357048.0,0.0,1.0,36.34,36.5789,35.811,36.02,2357048.0
2017-07-10,35.7,36.78,35.4718,36.35,2884247.0,0.0,1.0,35.7,36.78,35.4718,36.35,2884247.0
2017-07-07,36.68,36.84,35.41,35.92,4155373.0,0.0,1.0,36.68,36.84,35.41,35.92,4155373.0
2017-07-06,36.41,37.38,36.04,36.86,4093599.0,0.0,1.0,36.41,37.38,36.04,36.86,4093599.0
2017-07-05,36.2,36.705,35.65,36.48,3424778.0,0.0,1.0,36.2,36.705,35.65,36.48,3424778.0
2017-07-03,36.18,36.48,35.7,36.29,1325620.0,0.0,1.0,36.18,36.48,35.7,36.29,1325620.0
2017-06-30,35.61,36.49,35.36,35.81,4118938.0,0.0,1.0,35.61,36.49,35.36,35.81,4118938.0
2017-06-29,35.2,35.59,34.99,35.36,2831182.0,0.0,1.0,35.2,35.59,34.99,35.36,2831182.0
2017-06-28,33.51,35.0,33.51,34.94,3197386.0,0.155,1.0,33.51,35.0,33.51,34.94,3197386.0
2017-06-27,33.7,34.17,33.19,33.2,2404714.0,0.0,1.0,33.551161134065,34.019085339792,33.04341359168,33.053369425844,2404714.0
2017-06-26,33.54,33.97,32.98,33.49,1585542.0,0.0,1.0,33.391867787434,33.819968656504,32.834341074227,33.342088616612,1585542.0
2017-06-23,33.8,34.22,33.11,33.44,3801277.0,0.0,1.0,33.650719475709,34.068864510614,32.963766918364,33.29230944579,3801277.0
2017-06-22,33.4,33.74,33.01,33.51,1897692.0,0.0,1.0,33.252486109132,33.590984470722,32.86420857672,33.362000284941,1897692.0
2017-06-21,33.03,33.73,32.79,33.25,2882184.0,0.0,1.0,32.884120245049,33.581028636558,32.645180225103,33.103148596666,2882184.0
2017-06-20,32.55,33.24,32.25,32.91,3260982.0,0.0,1.0,32.406240205157,33.093192762502,32.107565180225,32.764650235076,3260982.0
2017-06-19,33.63,34.48,32.795,32.86,5880293.0,0.0,1.0,33.481470294914,34.327716198889,32.650158142185,32.714871064254,5880293.0
2017-06-16,32.87,33.42,32.31,33.16,5281686.0,0.0,1.0,32.724826898419,33.272397777461,32.167300185212,33.013546089186,5281686.0
2017-06-15,33.97,34.57,32.71,32.85,4554638.0,0.0,1.0,33.819968656504,34.417318706368,32.565533551788,32.70491523009,4554638.0
2017-06-14,35.67,35.84,34.18,34.63,3948723.0,0.0,1.0,35.512460464454,35.681709645249,34.029041173956,34.477053711355,3948723.0
2017-06-13,35.91,36.53,35.515,35.69,2446229.0,0.0,1.0,35.751400484399,36.368662202593,35.358145034905,35.532372132782,2446229.0
2017-06-12,35.89,36.51,35.58,35.93,2330114.0,0.0,1.0,35.731488816071,36.348750534264,35.422857956974,35.771312152728,2330114.0
