Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-14,29.09,29.355,29.0613,29.29,2863372.0,0.0,1.0,29.09,29.355,29.0613,29.29,2863372.0
2017-08-11,29.1,29.14,28.88,29.0,5547625.0,0.0,1.0,29.1,29.14,28.88,29.0,5547625.0
2017-08-10,29.49,29.49,29.27,29.28,2675414.0,0.0,1.0,29.49,29.49,29.27,29.28,2675414.0
2017-08-09,29.81,29.98,29.725,29.82,3621611.0,0.0,1.0,29.81,29.98,29.725,29.82,3621611.0
2017-08-08,29.63,29.77,29.565,29.62,1997657.0,0.0,1.0,29.63,29.77,29.565,29.62,1997657.0
2017-08-07,29.98,30.0,29.87,29.9,1999084.0,0.0,1.0,29.98,30.0,29.87,29.9,1999084.0
2017-08-04,29.81,29.85,29.75,29.81,3087186.0,0.0,1.0,29.81,29.85,29.75,29.81,3087186.0
2017-08-03,29.6,29.88,29.55,29.77,1684008.0,0.0,1.0,29.6,29.88,29.55,29.77,1684008.0
2017-08-02,29.61,29.67,29.475,29.67,1651486.0,0.0,1.0,29.61,29.67,29.475,29.67,1651486.0
2017-08-01,29.87,29.88,29.63,29.64,1847229.0,0.0,1.0,29.87,29.88,29.63,29.64,1847229.0
2017-07-31,29.58,29.71,29.515,29.68,1951194.0,0.0,1.0,29.58,29.71,29.515,29.68,1951194.0
2017-07-28,29.17,29.4789,29.16,29.44,2311650.0,0.0,1.0,29.17,29.4789,29.16,29.44,2311650.0
2017-07-27,29.73,29.75,29.328,29.52,3442976.0,0.0,1.0,29.73,29.75,29.328,29.52,3442976.0
2017-07-26,29.11,29.22,29.06,29.17,2578857.0,0.0,1.0,29.11,29.22,29.06,29.17,2578857.0
2017-07-25,29.33,29.37,29.08,29.1,1795055.0,0.0,1.0,29.33,29.37,29.08,29.1,1795055.0
2017-07-24,29.31,29.36,29.15,29.3,2866426.0,0.0,1.0,29.31,29.36,29.15,29.3,2866426.0
2017-07-21,29.94,29.96,29.64,29.77,3603204.0,0.0,1.0,29.94,29.96,29.64,29.77,3603204.0
2017-07-20,29.55,29.64,29.42,29.56,3030525.0,0.0,1.0,29.55,29.64,29.42,29.56,3030525.0
